building_id,meter_type,meter_reading,site_id,square_feet,timestamp,air_temperature,dew_temperature,sea_level_pressure,wind_direction,wind_speed
1282,0,512.0,14,12500,2016-01-01 01:00:00,5.6,-0.6,1019.3,300.0,2.6
1282,0,541.0,14,12500,2016-01-01 02:00:00,5.6,-0.6,1019.4,300.0,2.6
1282,0,522.0,14,12500,2016-01-01 03:00:00,5.6,-1.1,1019.4,186.1476210473924,1.5
1282,0,531.0,14,12500,2016-01-01 04:00:00,5.0,-2.2,1019.2,290.0,3.1
1282,0,511.0,14,12500,2016-01-01 05:00:00,4.4,-2.2,1018.9,300.0,4.1
1282,0,550.0,14,12500,2016-01-01 06:00:00,4.4,-2.8,1018.4,300.0,2.6
1282,0,538.0,14,12500,2016-01-01 07:00:00,3.9,-2.8,1018.2,300.0,3.6
1282,0,555.0,14,12500,2016-01-01 08:00:00,3.9,-3.3,1018.3,300.0,4.1
1282,0,545.0,14,12500,2016-01-01 09:00:00,3.3,-3.3,1018.2,280.0,3.1
1282,0,537.0,14,12500,2016-01-01 10:00:00,3.3,-3.3,1018.0,280.0,2.6
1282,0,531.0,14,12500,2016-01-01 11:00:00,3.3,-3.3,1017.9,280.0,2.6
1282,0,526.0,14,12500,2016-01-01 12:00:00,2.8,-3.3,1017.8,300.0,2.6
1282,0,502.0,14,12500,2016-01-01 13:00:00,2.8,-2.8,1018.3,270.0,1.5
1282,0,521.0,14,12500,2016-01-01 14:00:00,3.3,-2.8,1018.1,290.0,2.6
1282,0,483.0,14,12500,2016-01-01 15:00:00,3.9,-3.9,1018.3,300.0,2.6
1282,0,559.0,14,12500,2016-01-01 16:00:00,3.9,-3.3,1017.9,280.0,3.6
1282,0,497.0,14,12500,2016-01-01 17:00:00,4.4,-3.3,1016.9,290.0,5.1
1282,0,528.0,14,12500,2016-01-01 18:00:00,3.9,-3.9,1016.2,280.0,4.6
1282,0,507.0,14,12500,2016-01-01 19:00:00,3.3,-3.9,1016.0,300.0,5.1
1282,0,554.0,14,12500,2016-01-01 20:00:00,3.9,-5.0,1015.8,290.0,4.6
1282,0,497.0,14,12500,2016-01-01 21:00:00,3.9,-5.6,1015.7,300.0,4.1
1282,0,537.0,14,12500,2016-01-01 22:00:00,3.3,-6.1,1015.7,270.0,4.6
1282,0,498.0,14,12500,2016-01-01 23:00:00,2.8,-6.1,1016.3,270.0,4.1
1282,0,539.0,14,12500,2016-01-02 00:00:00,2.8,-6.1,1016.8,280.0,3.6
1282,0,491.0,14,12500,2016-01-02 01:00:00,2.2,-6.7,1017.5,290.0,3.1
1282,0,520.0,14,12500,2016-01-02 02:00:00,1.1,-6.7,1017.9,280.0,3.1
1282,0,522.0,14,12500,2016-01-02 03:00:00,1.1,-8.3,1017.7,270.0,2.1
1282,0,450.0,14,12500,2016-01-02 04:00:00,0.6,-8.9,1017.9,300.0,3.6
1282,0,503.0,14,12500,2016-01-02 05:00:00,-0.6,-8.3,1018.1,240.0,1.5
1282,0,464.0,14,12500,2016-01-02 06:00:00,0.0,-7.8,1017.8,270.0,3.1
1282,0,503.0,14,12500,2016-01-02 07:00:00,0.6,-7.8,1018.0,280.0,3.6
1282,0,485.0,14,12500,2016-01-02 08:00:00,0.6,-8.9,1017.8,320.0,2.1
1282,0,505.0,14,12500,2016-01-02 09:00:00,0.6,-10.0,1017.7,300.0,3.1
1282,0,486.0,14,12500,2016-01-02 10:00:00,0.0,-10.0,1017.8,300.0,3.1
1282,0,481.0,14,12500,2016-01-02 11:00:00,0.6,-10.0,1018.0,310.0,1.5
1282,0,524.0,14,12500,2016-01-02 12:00:00,0.0,-9.4,1018.4,270.0,1.5
1282,0,463.0,14,12500,2016-01-02 13:00:00,0.0,-8.9,1018.9,270.0,1.5
1282,0,514.0,14,12500,2016-01-02 14:00:00,1.1,-6.7,1019.0,186.1476210473924,2.6
1282,0,485.0,14,12500,2016-01-02 15:00:00,1.7,-7.2,1019.5,260.0,4.6
1282,0,527.0,14,12500,2016-01-02 16:00:00,2.2,-7.2,1019.2,270.0,4.1
1282,0,477.0,14,12500,2016-01-02 17:00:00,3.3,-6.7,1018.0,310.0,4.6
1282,0,549.0,14,12500,2016-01-02 18:00:00,4.4,-6.7,1016.4,280.0,4.6
1282,0,493.0,14,12500,2016-01-02 19:00:00,5.0,-6.1,1015.7,270.0,4.1
1282,0,540.0,14,12500,2016-01-02 20:00:00,4.4,-6.1,1015.5,270.0,4.1
1282,0,533.0,14,12500,2016-01-02 21:00:00,3.9,-6.1,1015.5,300.0,4.1
1282,0,560.0,14,12500,2016-01-02 22:00:00,3.9,-6.1,1015.8,310.0,2.6
1282,0,531.0,14,12500,2016-01-02 23:00:00,2.8,-6.1,1015.8,300.0,1.5
1282,0,540.0,14,12500,2016-01-03 00:00:00,1.1,-6.1,1016.3,0.0,0.0
1282,0,518.0,14,12500,2016-01-03 01:00:00,1.1,-5.6,1015.9,0.0,0.0
1282,0,550.0,14,12500,2016-01-03 02:00:00,0.0,-6.1,1015.8,0.0,0.0
1282,0,499.0,14,12500,2016-01-03 03:00:00,-1.1,-6.1,1015.3,300.0,2.1
1282,0,536.0,14,12500,2016-01-03 04:00:00,-0.6,-5.6,1015.2,270.0,1.5
1282,0,509.0,14,12500,2016-01-03 05:00:00,-1.7,-6.1,1014.5,0.0,0.0
1282,0,471.0,14,12500,2016-01-03 06:00:00,-2.2,-6.1,1013.8,0.0,0.0
1282,0,437.0,14,12500,2016-01-03 07:00:00,-2.2,-5.6,1013.1,230.0,2.1
1282,0,464.0,14,12500,2016-01-03 08:00:00,-2.8,-5.0,1012.6,230.0,1.5
1282,0,444.0,14,12500,2016-01-03 09:00:00,-3.3,-6.1,1011.3,200.0,2.6
1282,0,444.0,14,12500,2016-01-03 10:00:00,-1.7,-5.0,1011.2,250.0,2.1
1282,0,464.0,14,12500,2016-01-03 11:00:00,-2.8,-6.1,1010.8,190.0,1.5
1282,0,455.0,14,12500,2016-01-03 12:00:00,-2.2,-5.0,1011.1,190.0,1.5
1282,0,525.0,14,12500,2016-01-03 13:00:00,-1.7,-4.4,1011.0,230.0,2.1
1282,0,529.0,14,12500,2016-01-03 14:00:00,1.1,-3.3,1011.3,220.0,3.1
1282,0,506.0,14,12500,2016-01-03 15:00:00,5.0,-3.3,1011.2,230.0,4.1
1282,0,559.0,14,12500,2016-01-03 16:00:00,7.2,-5.0,1010.3,260.0,6.2
1282,0,517.0,14,12500,2016-01-03 17:00:00,7.8,-5.6,1009.5,280.0,5.1
1282,0,544.0,14,12500,2016-01-03 18:00:00,8.3,-5.6,1008.9,300.0,5.7
1282,0,492.0,14,12500,2016-01-03 19:00:00,7.8,-5.0,1009.5,300.0,6.2
1282,0,535.0,14,12500,2016-01-03 20:00:00,6.7,-5.0,1009.6,330.0,5.1
1282,0,504.0,14,12500,2016-01-03 21:00:00,5.6,-5.0,1010.6,300.0,6.7
1282,0,529.0,14,12500,2016-01-03 22:00:00,3.9,-5.6,1011.2,320.0,2.6
1282,0,518.0,14,12500,2016-01-03 23:00:00,3.3,-5.6,1011.7,320.0,3.1
1282,0,519.0,14,12500,2016-01-04 00:00:00,2.8,-5.6,1012.4,270.0,2.1
1282,0,499.0,14,12500,2016-01-04 01:00:00,2.2,-5.0,1012.4,280.0,2.1
1282,0,537.0,14,12500,2016-01-04 02:00:00,1.7,-5.0,1012.3,270.0,2.6
1282,0,518.0,14,12500,2016-01-04 03:00:00,1.7,-5.0,1012.5,290.0,2.1
1282,0,546.0,14,12500,2016-01-04 04:00:00,1.1,-5.0,1012.3,290.0,2.1
1282,0,469.0,14,12500,2016-01-04 05:00:00,0.6,-4.4,1012.3,280.0,2.1
1282,0,484.0,14,12500,2016-01-04 06:00:00,0.6,-4.4,1011.8,280.0,2.6
